,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
68,69,🇺🇸,Eric Sjoberg,0,2,0,0,0,201.08n=2,93.54n=2,98.62n=2,103.45n=2,6.87n=20,3.40n=12,2.90n=4,3.70n=2,6.98n=4,6.68n=4,6.78n=4,6.96n=4,6.85n=4
69,70,🇨🇳,Yudong Chen,0,0,1,0,0,200.96n=1,108.43n=1,101.68n=1,104.28n=1,6.78n=10,3.79n=6,3.80n=2,3.57n=1,7.27n=2,6.77n=2,6.86n=2,7.11n=2,7.04n=2
70,71,🇺🇸,William Annis,2,0,0,0,0,200.86n=2,105.94n=2,103.44n=2,98.92n=2,7.65n=20,3.21n=12,3.84n=4,-n=0,6.84n=4,6.39n=4,6.54n=4,6.65n=4,6.59n=4
71,72,🇦🇹,Maurizio Zandron,0,3,0,1,0,198.04n=4,99.37n=4,96.47n=4,102.33n=4,6.42n=40,3.30n=24,4.34n=8,3.83n=4,6.76n=8,6.60n=8,6.78n=8,6.89n=8,6.98n=8
72,73,🇨🇦,Corey Circelli,2,1,0,1,0,196.98n=4,90.74n=4,93.84n=4,104.39n=4,6.28n=40,3.55n=24,3.67n=8,4.72n=2,6.98n=8,6.77n=8,6.87n=8,7.09n=8,7.10n=8
73,74,🇬🇧,Peter James Hallam,0,1,0,0,0,196.39n=1,94.17n=1,95.38n=1,102.01n=1,6.10n=10,3.75n=6,3.80n=2,4.25n=1,6.66n=2,6.62n=2,6.80n=2,6.71n=2,6.98n=2
74,75,🇮🇱,Mark Gorodnitsky,0,2,0,0,0,196.25n=2,91.30n=2,95.48n=2,101.28n=2,6.39n=20,3.55n=12,3.38n=4,3.50n=2,6.92n=4,6.54n=4,6.74n=4,6.79n=4,6.75n=4
75,76,🇺🇸,Lucas Broussard,2,0,0,0,0,195.54n=2,94.73n=2,97.74n=2,98.80n=2,6.97n=20,3.58n=12,3.28n=4,-n=0,6.44n=4,6.30n=4,6.46n=4,6.62n=4,6.63n=4
76,77,🇺🇸,Jacob Sanchez,1,0,0,0,0,194.03n=1,86.43n=1,94.18n=1,99.85n=1,6.21n=10,4.04n=6,3.94n=2,-n=0,6.50n=2,6.40n=2,6.69n=2,6.82n=2,6.79n=2
77,78,🇸🇪,Nikolaj Majorov,0,2,0,0,0,193.78n=2,90.94n=2,88.60n=2,109.19n=2,5.55n=20,3.37n=12,4.39n=4,4.12n=2,7.47n=4,7.08n=4,7.22n=4,7.50n=4,7.58n=4
78,79,🇷🇺,Andrei Anisimov,2,0,0,0,0,193.42n=2,100.79n=2,97.24n=2,97.18n=2,6.97n=20,3.28n=12,3.94n=4,-n=0,6.86n=4,6.26n=4,6.51n=4,6.55n=4,6.54n=4
79,80,🇫🇷,Adrien Tesson,0,2,0,0,0,193.28n=2,91.12n=2,91.80n=2,101.48n=2,6.01n=20,3.38n=12,3.85n=4,3.70n=2,6.64n=4,6.46n=4,6.80n=4,6.78n=4,6.91n=4
80,81,🇲🇽,Donovan Carrillo,0,1,0,0,0,192.54n=1,97.46n=1,93.68n=1,100.86n=1,5.82n=10,3.92n=6,4.36n=2,3.33n=1,6.78n=2,6.44n=2,6.71n=2,7.10n=2,6.92n=2
81,82,🇺🇸,Matthew Nielsen,1,0,0,0,0,192.38n=1,89.97n=1,96.56n=1,95.82n=1,6.55n=10,3.76n=6,4.23n=2,-n=0,6.50n=2,6.11n=2,6.39n=2,6.54n=2,6.36n=2
82,83,🇭🇷,Jari Kessler,0,3,0,0,0,191.92n=3,85.02n=3,90.83n=3,103.09n=3,5.54n=33,3.37n=21,4.45n=7,4.28n=3,6.75n=6,6.60n=6,6.64n=6,6.86n=6,6.85n=6
83,84,🇨🇿,Georgii Reshtenko,2,3,0,0,0,191.67n=5,101.33n=5,97.68n=5,94.79n=5,6.88n=50,3.22n=30,3.67n=10,3.77n=3,6.41n=10,6.03n=10,6.28n=10,6.37n=10,6.32n=10
84,85,🇵🇱,Vladimir Samoilov,0,1,0,0,0,190.35n=1,99.65n=1,96.05n=1,97.30n=1,6.59n=10,3.26n=6,3.70n=2,3.20n=1,6.70n=2,6.30n=2,6.45n=2,6.58n=2,6.42n=2
85,86,🇹🇷,Burak Demirboga,0,3,0,1,0,189.84n=4,93.64n=4,93.58n=4,96.52n=4,6.58n=40,2.95n=24,3.44n=8,3.23n=4,6.62n=8,6.24n=8,6.47n=8,6.48n=8,6.52n=8
86,87,🇧🇾,Konstantin Milyukov,0,3,0,1,0,189.24n=4,97.20n=4,90.87n=4,100.62n=4,6.34n=40,2.86n=24,3.41n=8,3.53n=4,6.88n=8,6.54n=8,6.62n=8,6.82n=8,6.78n=8
87,88,🇸🇪,Andreas Nordebäck,2,0,0,0,0,189.05n=2,85.17n=2,89.98n=2,99.56n=2,6.20n=20,3.19n=12,4.41n=4,-n=0,6.59n=4,6.45n=4,6.54n=4,6.62n=4,6.77n=4
88,89,🇹🇷,Başar Oktar,0,3,0,0,0,188.83n=3,97.11n=3,94.52n=3,94.64n=3,6.52n=30,3.30n=18,3.39n=6,2.73n=3,6.50n=6,6.11n=6,6.32n=6,6.35n=6,6.29n=6
